,Summoner ID
6,mUJrDDeAA4pjGBsewBlBfTMXvRPYFIHvAfj-PupTSjbuAIV_
7,ob-13EPfj9naelhBHmLhipzByrTRvcYAHrS7LgzEA99JrvOS
8,E5NVBihbPXHzvD4a_v-9OetuIYRlyIwua9x9Kxax2xq-Btt2
9,xRFo_0yRWmaLcWV6M-AM_XkhesLXBbK4Pb6wXQgB8JjApSaX
10,aL574sbwfCvw5IJvMMbHBis_-PRIKISSw1phXFGMyomuNAVZ
11,Wzw6ZBHa27klqlHlKu7n3TrKnvpyTtrBJh7vb7ofvFSM4iGJ
12,Oe9-zZDllm4PBe5RKmelSiNyMtzpfc3DjnJs7tbxmChLEPGO
13,YBCdQUg23MbXzB0gwzGEDhIpLla1LfKhrCmCIq5PuOCRE2fn
14,8Zik4xp7phXN4-RyqDvtwdZ9XVEPCK3z8jtsqm86LcLftiAc
15,DnRXDmrkReET_tvo3yJXyi4EcjCw1XsJm5KBDhoG_9CjTld5
16,KK4l1pWMLCduEjBtlcM9VuS3SxYOadNN3PR82xLJ0ALY4TYe
17,GJi2pt035MKrzsnzphyt6lSie_M7wZs7X7KtVZnigJr49qTN
18,vAqkXRn-74TR-oFFkragPCI6813XAjg-7DeYcHyFptlTGmlA
19,XSSDakGlyHBfCGFHdW5DT0l9DYSdvYGvpLYmgLnvVXO8GFgG
20,8I9NbdIMcs21RyYsfZutVF8ktzJ5jgEBHvDKtoQzEsXNF-I8
21,K2jDpoTl8y3JHayWfp_mVaST3Q6pV01P-OgYOvQ7qNsdDqhU
22,NJGU9kIIQbi1OEhVAAC_ziQGguu1IdZD89ZP5I4wQeMt2AxE
23,07CwpiYBGjOMNny1EFTy_1bir0xnV3ujii6tDR5cApSad0h_
24,YvnIMr17m_slZYmPzEXm5RAvUPoNLYUV1cjJlw3gLLCUbY8d
25,TkFSaSbf_rtCbOvkWfAYj2qUN2SK9rPUza7N-8J0Exqlwlu8
26,3ksqbX3PBFOJwFsIGEopRobHjGLyXkCx8oj8H7u_SvcYYmF3
27,ghttAIHSGcoHRyCIBhlNjInG48CN1S5_znR7zC7g5QuqqLL-
28,WY71sT1rcoJ8Z_Q16F-AqmMfqSICKhluJpxPHLHuw-ffAxZz
29,gGDSBpcE5791ICEU3Q63S7_GKNJVmw-WoTSXGgStTv2xkWq1
30,OYv0nv4pSF6m_OuHWktxvaNWfMZWpNqUSta9EtwwUupOObFq
31,dhBOWgCnjbyl_YcZ2jzJaUQT9w5XSvePhGI-6X4BecAilIB-
32,B8uK9aWggr6MPbflu2vJiEns3_2jcthWlp-KBA-AHsecWb_G
33,kJqy7T8SnKOG77Afb9Cc3NmxE0sbQoY2ENAO42iV8My6uup8
34,FBnZX5K36kEjGYInUosuRzGKU62t8xyFdzeFFxLaEottJFMo
35,_ZhRafk9iMGRSxrPIuouV_ehM3Bpg6mwqK--q3KkdQ_qlhDh
36,lQXe3PV168KPLMta7fMlcM1vWoHT7TOvOVsMjUuU1pc1oLPA
37,BogJXuw5nriislTAAEBC34WK5iTjCYa_LGziijZ27CzjFRz9
38,Jp4tw3QjrgMnzhGjwSHzyCmFonrsA9wQStQGqLbvKlqNeS4D
39,py6JpnWHeAwxpVRgzbUZqjyx_T_LMmKlRaIJwPCny2QC2f_U
40,X3EbgScsDjrfvo7BCDEo7s-wKq2S1it1HXFjTupZU0RGl-3f
41,7AERAojvxALC0vzMtW7qYjGnEq08f-8ZxJIU3BnJCXu4uO99
42,pHeRdC1IL1rWokRH3COn1snMQZWneGdYMQlOEJWeHHmNf_3V
43,c65y3jGyitRiUeKsv5Er9SMk1l2AgqYVoCjbt30kXnISsuG4
44,ynijsiY4NTCItKmfU6Jeby8n0RkXJ4q9W-v6r0qJf3RBi0z5
45,_ndskwu6s75hkpAU_IDucNyzRdXGT8je1xNDO7-zHcw6o0YS
46,MoJwPJRougbmgj-iR1xAb8ODFkUHNuou5ymW3lxHm-SU7OIw
47,7hEE-8uPGVhRGOw6mg2BAYfpOodR7Qdw5bjX_kW3cXFikLmo
48,8F93RFuX7L4nGnq9EhZKUpaN8jcqftmOil7CA-FUVsFZlxFS
49,39Kr_KjaByE0CpI8C6o5VeTloQkOpOn5cB7A8N3_AsB63u5z
50,9HwqS69peRykQIONA5o0R1czqLkalo7scrN-TUasmdiIyf3p
51,ClLNrf-PgSOhgDKYWgvKu88prUwOjIlrs9KGqER1RN0NWnSz
52,POtEjKQM0DXKHagAlzvrU5LNkfFd7gDs0gZZB7-0qOfXb094
53,xRagEk1KqnLlXvu2kU9bztBpZttL-Mb9VjCVtbuom9m7lpOV
54,UxvEMKgf89tGnp8DR5LcdRLxREHvZZqhzqVg0IQHIRcbcJsJ
55,M84MMcFHjfBvMCzyK0Jqto3iijL7CsQSzlss88p1yemwMJvk
56,D4Ei0aGVE7Wd3fGmePYl49VZRlGNnqrLYVxjJL-m_7uFt-k9
57,wRBx6CIwIp8-h7vuqaXJEs0NoqDrywqQFJg4_JnNF_3fm52J
58,3ZsqFqM9f2xAnjglklFO_aIbb-V_yBlXh3zTNIzs0rN2-27I
59,bGIbah4QG9eUh5rpG8hFHO2NZ3vef4cph2sUDWEQVtLBeFfs
60,6HX5AHfo4N3JYjU8S3Z5XlRkYF5rbGgx_eCeBHk6zKfAPJvz
61,ATqRaKYKHjD4JORx3FCJTo96baxOjsy0GsPNIbgMUCbQEtqi
62,-o5yesyUmvO7ud1UXFoYB1dRqR5kzJRkAbmpHkwSIqSw3fxH
63,Es8QiMFgQt7I805hR9K5Us9zxsyQtBmmzuAluHfupUT5ANQJ
64,yZkhDwltf14m9WyH1rZKFbF1IoyKJJ2ftcW86Npd347dede5
65,9jnbntnp2212B73UBFoOLp5LwvPuOZv22ssfG5l-i4WKjPqf
66,_J6YAstpmoPxXSm1114aD0ye4TyT_XlOpln1qRrxKrqXEzzS
67,Su3OvBpQ7UG9-v9IUwdC7SAOugsyIeEIHrt94N5HcJDVBDQy
68,Ph-Fv6LyUyM2isMga8FcLXtI0_vQlAmF4YuRUj2-bzCDTx-U
69,WU9kvMWHsdGPwb6lVYfhfpdZqLEanYA9AMVLBjtIVvm6Q1Kb
70,9WtueNKQW8lyDGnJFJaWeo3plMLFJMYYsWzes8lKgcGerz-D
71,biZu9tF5pvSBKCSycyDOfoDulpsbm1VUgjZxJ06k5PPN3f0h
72,RFqfdoioTViKfX-9WvCWaWnJ_QWzSlPRVy4F0l2Kisiytb3t
73,oIUthTr6VcMZBb5A74SLRDEHJ78aIkK3fsfEqT0EIRmBwIbG
74,VmU-8jEDTjNIbqolh1qpy5JVvs8tVUQ9Oxq9Uqq-vfo2_oRa
75,ihzp6tmw8hIEiszxVu04cm0Hgup_XjlzDcADDT2w_cNXzB6E
76,nKy0Bq40TY-wqDhbmhXDZVr1upEjHQz6WO00_PPg4Ci0Xkw0
77,l7MKZKAxkIFCzRxcmHJVdNO0vmj2pVxE7XxB3FTtsR9OsMsT
78,2CRHfJdF6HEckecrCJ_3mO66G5HxZQBxO_c8WhUuaQk0QAvv
79,7DBk-em8jGW4J37pDlNgZ-z4vkEFR4IS9q3krejnRhQQj3IQ
80,pKahltjTG93RFhh-LTbCZxxs3IWP8PkZKSYrPukqokU_OPP1
